applicant_id,gender,age_group,consent_given,traditional_score,monthly_income_inr,debt_to_income_ratio,num_existing_loans,upi_monthly_tx_volume,bnpl_repayment_rate,utility_pay_punctuality,telecom_recharge_regularity,ecommerce_monthly_spend,ecommerce_return_rate,gig_income_stability_index,digital_footprint_consistency,device_change_frequency,mobile_wallet_tx_freq,default_flag
APP_1000,Male,25_50,True,566.0,39671.12,0.554,2,43,0.8,0.796,0.884,7946.68,0.314,0.706,0.816,0,25,0
APP_1001,Female,Under_25,True,688.0,24141.88,0.319,1,41,0.751,0.907,0.848,4230.82,0.074,0.823,0.553,0,54,0
APP_1002,Female,Over_50,True,673.0,52520.92,0.672,2,76,0.909,0.858,0.736,2969.5,0.21,0.781,0.612,1,24,0
APP_1003,Female,Under_25,True,727.0,49306.43,0.212,2,37,0.687,0.872,0.708,6433.13,0.06,0.406,0.886,0,42,0
APP_1004,Male,25_50,True,587.0,59102.19,0.273,3,52,0.719,0.735,0.843,5780.89,0.172,0.437,0.964,1,39,0
APP_1005,Male,25_50,True,653.0,44318.22,0.342,1,64,0.729,0.842,0.496,6544.16,0.203,0.598,0.646,0,19,0
APP_1006,Male,25_50,True,541.0,211344.28,0.4,1,23,0.838,0.919,0.72,23344.69,0.078,0.725,0.77,0,76,0
APP_1007,Female,25_50,True,706.0,19599.23,0.171,3,46,0.726,0.804,0.49,5067.62,0.27,0.735,0.792,2,46,0
APP_1008,Female,Under_25,True,692.0,15000.0,0.577,2,60,0.671,0.906,0.817,3366.31,0.092,0.301,0.916,1,55,0
APP_1009,Female,25_50,True,690.0,28685.47,0.297,2,44,0.861,0.763,0.699,6741.91,0.166,0.742,0.781,0,66,0
APP_1010,Male,Under_25,True,650.0,15000.0,0.209,0,51,0.88,0.822,0.722,2103.25,0.172,0.607,0.958,1,66,0
APP_1011,Female,Under_25,True,683.0,15000.0,0.119,3,38,0.898,0.55,0.902,762.92,0.141,0.788,0.869,0,68,0
